quiz_title,quiz_description,quiz_difficulty,question,choice_1,choice_2,choice_3,choice_4,correct_choice
"Laravel Fundamentals","Test your knowledge of Laravel basics and core concepts.","easy","What command is used to create a new migration in Laravel?","php artisan make:migration","php artisan migration:create","php artisan new:migration","php artisan generate:migration",1
"Laravel Fundamentals","Test your knowledge of Laravel basics and core concepts.","easy","Which Laravel directory contains the model classes?","/controllers","/models","/app/Models","/app/Entities",3
"Laravel Fundamentals","Test your knowledge of Laravel basics and core concepts.","easy","What is Laravel's template engine called?","Twig","Blade","Smarty","Volt",2
"Laravel Fundamentals","Test your knowledge of Laravel basics and core concepts.","easy","Which Artisan command is used to generate a controller?","php artisan make:controller","php artisan controller:make","php artisan new:controller","php artisan generate:controller",1
"Laravel Fundamentals","Test your knowledge of Laravel basics and core concepts.","easy","What is the command to run the Laravel scheduler?","php artisan schedule","php artisan schedule:run","php artisan cron:start","php artisan cron:execute",2
"Laravel Fundamentals","Test your knowledge of Laravel basics and core concepts.","easy","Which Laravel component handles authentication?","Guard","Shield","Sentinel","Passport",1
"Laravel Fundamentals","Test your knowledge of Laravel basics and core concepts.","easy","What are Laravel Facades?","UI components for the front-end","Static interfaces to classes in the service container","Middleware handlers","Database migration tools",2
"Laravel Fundamentals","Test your knowledge of Laravel basics and core concepts.","easy","What is Laravel Eloquent?","Form validation library","Template rendering engine","ORM (Object-Relational Mapper)","Frontend framework",3
"PHP Programming Concepts","Challenge yourself with intermediate PHP concepts and techniques.","medium","What is the difference between '==' and '===' in PHP?","They are identical in function","'===' is faster than '=='","'==' checks value, '===' checks value and type","'===' is deprecated in PHP 8",3
"PHP Programming Concepts","Challenge yourself with intermediate PHP concepts and techniques.","medium","Which function in PHP is used to sanitize user input for database operations?","clean_input()","sanitize_var()","mysqli_real_escape_string()","filter_var()",3
"PHP Programming Concepts","Challenge yourself with intermediate PHP concepts and techniques.","medium","What is the purpose of the PHP trait?","To implement multiple inheritance","To create abstract classes","To define interfaces","To autoload classes",1
"PHP Programming Concepts","Challenge yourself with intermediate PHP concepts and techniques.","medium","Which superglobal array in PHP contains all HTTP POST variables?","$_GET","$_POST","$_REQUEST","$_FORM",2
"PHP Programming Concepts","Challenge yourself with intermediate PHP concepts and techniques.","medium","What does the 'final' keyword do in PHP?","Terminates script execution","Prevents a class from being inherited","Guarantees a function returns a value","Makes a variable immutable",2
"PHP Programming Concepts","Challenge yourself with intermediate PHP concepts and techniques.","medium","What is the output of var_dump((int)\"100\" + \"25\")?","int(125)","string(5) \"10025\"","int(100)","Error",1
"PHP Programming Concepts","Challenge yourself with intermediate PHP concepts and techniques.","medium","Which function is used to get all defined variables, constants, and functions in the current scope?","get_defined_vars()","get_scope()","memory_get_usage()","extract()",1
"PHP Programming Concepts","Challenge yourself with intermediate PHP concepts and techniques.","medium","What does the yield keyword do in PHP?","Pauses a function's execution and returns a value","Terminates script execution with an error message","Increases memory allocation for the script","Marks a variable as deprecated",1
"PHP Programming Concepts","Challenge yourself with intermediate PHP concepts and techniques.","medium","Which PHP function converts an object to a string?","object_to_string()","serialize()","__toString()","cast_string()",2
"PHP Programming Concepts","Challenge yourself with intermediate PHP concepts and techniques.","medium","How do you declare a constant in PHP?","const NAME = 'value';","define('NAME', 'value');","Both A and B","constant NAME = 'value';",3
"JavaScript Essentials","Learn the fundamentals of JavaScript programming language.","easy","What is the correct way to declare a JavaScript variable?","var name;","variable name;","v name;","let name;",4
"JavaScript Essentials","Learn the fundamentals of JavaScript programming language.","easy","Which operator is used for strict equality comparison in JavaScript?","==","===","=","equals",2
"JavaScript Essentials","Learn the fundamentals of JavaScript programming language.","easy","What is the correct way to write a JavaScript array?","var colors = [\"red\", \"green\", \"blue\"]","var colors = (red, green, blue)","var colors = \"red\", \"green\", \"blue\"","var colors = {\"red\", \"green\", \"blue\"}",1
"JavaScript Essentials","Learn the fundamentals of JavaScript programming language.","easy","How do you create a function in JavaScript?","function:myFunction()","function myFunction()","function = myFunction()","create myFunction()",2
"JavaScript Essentials","Learn the fundamentals of JavaScript programming language.","easy","How do you add a comment in JavaScript?","<!-- This is a comment -->","// This is a comment","# This is a comment","/* This is a comment */",2
"JavaScript Essentials","Learn the fundamentals of JavaScript programming language.","easy","What is the correct way to write a JavaScript object?","var person = {name:\"John\", age:30}","var person = (name:\"John\", age:30)","var person = [name:\"John\", age:30]","var person = name:\"John\", age:30",1
"JavaScript Essentials","Learn the fundamentals of JavaScript programming language.","easy","Which event occurs when a user clicks on an HTML element?","onmouseclick","onchange","onclick","onmouseover",3
"JavaScript Essentials","Learn the fundamentals of JavaScript programming language.","easy","What is the correct JavaScript syntax to change the content of an HTML element with id=\"demo\"?","document.getElement(\"demo\").innerHTML = \"Hello World!\";","document.getElementById(\"demo\").innerHTML = \"Hello World!\";","#demo.innerHTML = \"Hello World!\";","document.getElementByName(\"demo\").innerHTML = \"Hello World!\";",2
"Advanced Web Development","Test your expertise with advanced web development concepts and best practices.","hard","Which technology is best suited for real-time bi-directional communication between clients and server?","RESTful API","GraphQL","WebSockets","Server-Sent Events",3
"Advanced Web Development","Test your expertise with advanced web development concepts and best practices.","hard","What is Cross-Origin Resource Sharing (CORS)?","A technique for optimizing website performance","A security feature that restricts resources from other origins","A method for sharing CPU resources across origins","A protocol for transferring large files between servers",2
"Advanced Web Development","Test your expertise with advanced web development concepts and best practices.","hard","Which pattern is most appropriate for managing complex state in large-scale frontend applications?","MVC Pattern","Observer Pattern","Flux/Redux Pattern","Factory Pattern",3
"Advanced Web Development","Test your expertise with advanced web development concepts and best practices.","hard","What is a Service Worker in web development?","A background script that handles network requests","A service that optimizes database operations","A third-party API integration tool","A human worker providing web services",1
"Advanced Web Development","Test your expertise with advanced web development concepts and best practices.","hard","Which of these is NOT a feature of Progressive Web Apps (PWAs)?","Offline functionality","Native access to device hardware like Bluetooth","App-like interface","Push notifications",2
"Advanced Web Development","Test your expertise with advanced web development concepts and best practices.","hard","What is the primary purpose of Content Security Policy (CSP)?","Optimize content delivery","Prevent XSS attacks","Manage content access rights","Improve SEO ranking",2
"Advanced Web Development","Test your expertise with advanced web development concepts and best practices.","hard","Which technique is used to improve initial loading performance of a JavaScript-heavy application?","Code splitting","Tree shaking","Both A and B","Just-in-time compilation",3
"Advanced Web Development","Test your expertise with advanced web development concepts and best practices.","hard","What is the purpose of a JWT (JSON Web Token)?","To encrypt API communication","To securely transmit information between parties","To compress JSON data for transport","To convert between JSON and XML formats",2
"Advanced Web Development","Test your expertise with advanced web development concepts and best practices.","hard","Which browser storage mechanism has the largest storage capacity?","Cookies","LocalStorage","SessionStorage","IndexedDB",4
"Advanced Web Development","Test your expertise with advanced web development concepts and best practices.","hard","What is a microservices architecture?","An architecture where UI components are independent","An architecture where applications are built as small, independent services","A pattern for code minimization","A method for reducing database size",2
"Advanced Web Development","Test your expertise with advanced web development concepts and best practices.","hard","Which HTTP status code indicates a client error due to unauthorized access?","403","401","503","500",2
"Advanced Web Development","Test your expertise with advanced web development concepts and best practices.","hard","What is WebAssembly (WASM)?","A new JavaScript framework","A binary instruction format for a stack-based virtual machine","A markup language for creating web layouts","A web server optimization technique",2
"Database Management","Challenge yourself with database design, optimization, and management concepts.","medium","What type of index is best for columns with high cardinality?","Hash index","B-tree index","Bitmap index","Spatial index",2
"Database Management","Challenge yourself with database design, optimization, and management concepts.","medium","Which of these is NOT a type of SQL join?","INNER JOIN","CROSS JOIN","NATURAL JOIN","REVERSE JOIN",4
"Database Management","Challenge yourself with database design, optimization, and management concepts.","medium","What does the ACID property 'Isolation' ensure in database transactions?","Transactions can be rolled back","Data remains consistent","Transactions are executed as if they were run sequentially","Completed transactions persist after system failures",3
"Database Management","Challenge yourself with database design, optimization, and management concepts.","medium","Which normalization form eliminates transitive dependencies?","First Normal Form (1NF)","Second Normal Form (2NF)","Third Normal Form (3NF)","Fourth Normal Form (4NF)",3
"Database Management","Challenge yourself with database design, optimization, and management concepts.","medium","What is the primary purpose of a database view?","To improve query performance","To restrict access to specific data","To provide a virtual table based on a query","To store temporary query results",3
"Database Management","Challenge yourself with database design, optimization, and management concepts.","medium","Which statement correctly describes a non-clustered index?","It physically reorders the data rows in a table","It creates a separate structure that references the data","It can only be created on primary key columns","It doesn't allow duplicate values",2
"Database Management","Challenge yourself with database design, optimization, and management concepts.","medium","What is \"sharding\" in database systems?","Backing up database tables","Horizontally partitioning data across multiple databases","Vertically partitioning tables by columns","Encrypting sensitive data",2
"Database Management","Challenge yourself with database design, optimization, and management concepts.","medium","Which of these is a valid use case for NoSQL databases?","Complex transactions across multiple tables","Storing and processing large volumes of unstructured data","Ensuring strict data consistency","Fine-grained access control",2
"Database Management","Challenge yourself with database design, optimization, and management concepts.","medium","What is the purpose of a database trigger?","To automatically execute code in response to certain events","To speed up query execution","To prevent SQL injection attacks","To compress database tables",1
